Province,Population
French Guiana,290691
French Polynesia,277679
Guadeloupe,395700
Martinique,376480
Mayotte,270372
New Caledonia,284060
Reunion,859959
Saint Barthelemy,9131
Saint Pierre and Miquelon,5888
St Martin,37264
